Month,Range,Area,location,Latitude,Longitude,Date,Image,Chinkara,Indian Gaur,Indian Palm Civet,Leopard,Nilgai,Sambar Deer,Sloth Bear,Spotted deer,Wild Boar,Wild dog
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,01.01.2021 to 10.01.2021,I__00222.JPG,0,0,0,0,0,0,0,0,0,1
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,01.01.2021 to 10.01.2021,I__00223.JPG,0,0,0,0,0,0,0,0,0,1
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,01.01.2021 to 10.01.2021,I__00223.JPG,0,0,0,0,1,0,0,0,0,1
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,01.01.2021 to 10.01.2021,I__00224.JPG,0,0,0,0,0,0,0,0,0,1
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,01.01.2021 to 10.01.2021,I__00225.JPG,0,0,1,0,0,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,01.01.2021 to 10.01.2021,I__00226.JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,01.01.2021 to 10.01.2021,I__00227.JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,01.01.2021 to 10.01.2021,I__00228.JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,01.01.2021 to 10.01.2021,I__00231.JPG,0,0,0,0,0,0,0,1,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,01.01.2021 to 10.01.2021,I__00233.JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,01.01.2021 to 10.01.2021,I__00234.JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,01.01.2021 to 10.01.2021,I__00235.JPG,0,1,0,0,0,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,01.01.2021 to 10.01.2021,I__00236.JPG,0,0,0,0,0,0,0,0,0,1
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,01.01.2021 to 10.01.2021,I__00237.JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,01.01.2021 to 10.01.2021,I__00238.JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,01.01.2021 to 10.01.2021,I__00239.JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,01.01.2021 to 10.01.2021,I__00240.JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,01.01.2021 to 10.01.2021,I__00241.JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,01.01.2021 to 10.01.2021,I__00243.JPG,0,1,0,0,0,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,01.01.2021 to 10.01.2021,I__00244.JPG,0,1,0,0,0,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,01.01.2021 to 10.01.2021,I__00245.JPG,0,1,0,0,0,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,01.01.2021 to 10.01.2021,I__00246.JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,11.01.2021 to 17.01.2021,I__00247.JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,11.01.2021 to 17.01.2021,I__00248.JPG,0,0,0,0,0,0,0,1,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,11.01.2021 to 17.01.2021,I__00249.JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,11.01.2021 to 17.01.2021,I__00250.JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,11.01.2021 to 17.01.2021,I__00251.JPG,0,0,0,0,0,0,0,1,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,11.01.2021 to 17.01.2021,I__00252.JPG,0,0,0,0,0,0,0,1,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,11.01.2021 to 17.01.2021,I__00252.JPG,0,0,0,0,0,0,0,1,0,1
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,11.01.2021 to 17.01.2021,I__00253.JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,11.01.2021 to 17.01.2021,I__00254.JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Indanpally south,Compt No.214 Addaboru grass plot ,19.15588,78.885645,11.01.2021 to 17.01.2021,I__00255.JPG,0,0,0,0,1,0,0,0,0,0
